epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7536,0,105.892,0,0,0,0,0,0,165.108,0,4e-05,4e-05,4e-05
2,22.8866,0,101.394,0,0,0,0,0,0,165.233,0,9.901e-05,9.901e-05,9.901e-05
3,32.4718,0,99.1423,0,0,0,0,0,0,165.275,0,0.000156832,0.000156832,0.000156832
4,42.1018,0,95.1926,0,0,0,0,0,0,165.165,0,0.000213466,0.000213466,0.000213466
5,51.8878,0,90.9293,0,0,0,0,0,0,164.912,0,0.000268912,0.000268912,0.000268912
6,62.7886,0,84.605,0,0,0,0,0,0,164.925,0,0.00032317,0.00032317,0.00032317
7,74.0343,0,80.9596,0,0,0,0,0,0,165.126,0,0.00037624,0.00037624,0.00037624
8,85.3686,0,76.8379,0,0,0,0,0,0,164.874,0,0.000428122,0.000428122,0.000428122
9,96.6785,0,72.6836,0,0,0,0,0,0,162.631,0,0.000478816,0.000478816,0.000478816
10,107.971,0,70.2782,0,0,0,0,0,0,160.749,0,0.000528322,0.000528322,0.000528322
11,119.474,0,67.5971,0,0,0,0,0,0,152.819,0,0.00057664,0.00057664,0.00057664
12,131.206,0,65.3524,0,0,0,0,0,0,146.351,0,0.00062377,0.00062377,0.00062377
13,142.768,0,63.9648,0,0,0,0,0,0,132.515,0,0.000669712,0.000669712,0.000669712
14,154.452,0,62.1569,0,0,0,0,0,0,119.675,0,0.000714466,0.000714466,0.000714466
15,165.87,0,60.2043,0,0,0,0,0,0,96.7655,0,0.000758032,0.000758032,0.000758032
16,176.97,0,59.1506,0,0,0,0,0,0,87.8893,0,0.00080041,0.00080041,0.00080041
17,188.123,0,58.2402,0,0,0,0,0,0,74.1876,0,0.0008416,0.0008416,0.0008416
18,199.447,0,56.7745,0,0,0,0,0,0,68.1266,0,0.000881602,0.000881602,0.000881602
19,210.954,0,55.7518,0,0,0,0,0,0,66.4525,0,0.000920416,0.000920416,0.000920416
20,224.116,0,63.1734,0,0,0,0,0,0,70.5074,0,0.000958042,0.000958042,0.000958042
21,235.288,0,61.9204,0,0,0,0,0,0,79.7257,0,0.00099448,0.00099448,0.00099448
22,246.498,0,58.1015,0,0,0,0,0,0,85.785,0,0.00102973,0.00102973,0.00102973
23,257.717,0,56.7398,0,0,0,0,0,0,89.2418,0,0.00106379,0.00106379,0.00106379
24,269.068,0,54.192,0,0,0,0,0,0,89.6999,0,0.00109667,0.00109667,0.00109667
25,280.477,0,53.8983,0,0,0,0,0,0,98.2157,0,0.00112835,0.00112835,0.00112835
26,291.755,0,53.0043,0,0,0,0,0,0,104.711,0,0.00115885,0.00115885,0.00115885
27,302.755,0,50.8879,0,0,0,0,0,0,100.766,0,0.00118816,0.00118816,0.00118816
28,313.346,0,49.2519,0,0,0,0,0,0,93.0432,0,0.00121628,0.00121628,0.00121628
29,324.491,0,47.9777,0,0,0,0,0,0,93.0432,0,0.00124322,0.00124322,0.00124322
30,335.806,0,47.3349,0,0,0,0,0,0,90.8917,0,0.00126896,0.00126896,0.00126896
31,347.029,0,46.6873,0,0,0,0,0,0,88.2232,0,0.00129352,0.00129352,0.00129352
32,358.212,0,47.2673,0,0,0,0,0,0,83.8484,0,0.00131689,0.00131689,0.00131689
33,369.44,0,44.7512,0,0,0,0,0,0,83.8484,0,0.00133907,0.00133907,0.00133907
34,380.499,0,44.127,0,0,0,0,0,0,79.1143,0,0.0013466,0.0013466,0.0013466
35,391.81,0,43.0414,0,0,0,0,0,0,73.0057,0,0.0013268,0.0013268,0.0013268
36,402.924,0,42.4063,0,0,0,0,0,0,70.2969,0,0.001307,0.001307,0.001307
37,414.313,0,41.7718,0,0,0,0,0,0,70.2969,0,0.0012872,0.0012872,0.0012872
38,425.691,0,41.2224,0,0,0,0,0,0,71.9984,0,0.0012674,0.0012674,0.0012674
39,437.381,0,40.1102,0,0,0,0,0,0,72.9131,0,0.0012476,0.0012476,0.0012476
40,448.76,0,39.1649,0,0,0,0,0,0,73.7628,0,0.0012278,0.0012278,0.0012278
41,460.107,0,38.2203,0,0,0,0,0,0,73.7628,0,0.001208,0.001208,0.001208
42,471.517,0,38.3641,0,0,0,0,0,0,74.8758,0,0.0011882,0.0011882,0.0011882
43,482.825,0,37.8324,0,0,0,0,0,0,69.7652,0,0.0011684,0.0011684,0.0011684
44,494.178,0,36.5808,0,0,0,0,0,0,68.7185,0,0.0011486,0.0011486,0.0011486
45,505.342,0,35.7626,0,0,0,0,0,0,68.7185,0,0.0011288,0.0011288,0.0011288
46,516.666,0,35.1186,0,0,0,0,0,0,67.5814,0,0.001109,0.001109,0.001109
47,527.861,0,35.1331,0,0,0,0,0,0,64.7274,0,0.0010892,0.0010892,0.0010892
48,539.131,0,34.0716,0,0,0,0,0,0,61.2156,0,0.0010694,0.0010694,0.0010694
49,550.357,0,33.2559,0,0,0,0,0,0,61.2156,0,0.0010496,0.0010496,0.0010496
50,561.998,0,32.7414,0,0,0,0,0,0,59.1643,0,0.0010298,0.0010298,0.0010298
51,573.266,0,32.5163,0,0,0,0,0,0,57.9579,0,0.00101,0.00101,0.00101
52,584.514,0,31.7266,0,0,0,0,0,0,56.0804,0,0.0009902,0.0009902,0.0009902
53,596.021,0,30.8671,0,0,0,0,0,0,56.0804,0,0.0009704,0.0009704,0.0009704
54,607.479,0,30.5677,0,0,0,0,0,0,53.602,0,0.0009506,0.0009506,0.0009506
55,618.831,0,30.1178,0,0,0,0,0,0,51.7957,0,0.0009308,0.0009308,0.0009308
56,630.31,0,29.6172,0,0,0,0,0,0,50.1439,0,0.000911,0.000911,0.000911
57,641.685,0,28.9797,0,0,0,0,0,0,50.1439,0,0.0008912,0.0008912,0.0008912
58,653.061,0,28.6831,0,0,0,0,0,0,48.259,0,0.0008714,0.0008714,0.0008714
59,664.226,0,28.5893,0,0,0,0,0,0,47.0453,0,0.0008516,0.0008516,0.0008516
60,675.427,0,27.9629,0,0,0,0,0,0,46.5609,0,0.0008318,0.0008318,0.0008318
61,686.539,0,27.2442,0,0,0,0,0,0,46.5609,0,0.000812,0.000812,0.000812
62,697.853,0,26.956,0,0,0,0,0,0,46.2011,0,0.0007922,0.0007922,0.0007922
63,709.08,0,26.7695,0,0,0,0,0,0,45.6945,0,0.0007724,0.0007724,0.0007724
64,720.34,0,26.2776,0,0,0,0,0,0,45.0308,0,0.0007526,0.0007526,0.0007526
65,731.665,0,25.6652,0,0,0,0,0,0,45.0308,0,0.0007328,0.0007328,0.0007328
66,742.933,0,25.5391,0,0,0,0,0,0,43.9849,0,0.000713,0.000713,0.000713
67,754.363,0,25.1652,0,0,0,0,0,0,42.6742,0,0.0006932,0.0006932,0.0006932
68,765.792,0,24.9227,0,0,0,0,0,0,41.4962,0,0.0006734,0.0006734,0.0006734
69,776.999,0,24.4462,0,0,0,0,0,0,41.4962,0,0.0006536,0.0006536,0.0006536
70,788.391,0,24.2543,0,0,0,0,0,0,40.342,0,0.0006338,0.0006338,0.0006338
71,799.909,0,23.9787,0,0,0,0,0,0,39.1678,0,0.000614,0.000614,0.000614
72,811.195,0,23.6552,0,0,0,0,0,0,38.2927,0,0.0005942,0.0005942,0.0005942
73,822.216,0,23.3348,0,0,0,0,0,0,38.2927,0,0.0005744,0.0005744,0.0005744
74,833.6,0,23.4618,0,0,0,0,0,0,37.7872,0,0.0005546,0.0005546,0.0005546
75,845.059,0,22.9812,0,0,0,0,0,0,37.5063,0,0.0005348,0.0005348,0.0005348
76,856.66,0,22.7664,0,0,0,0,0,0,37.5257,0,0.000515,0.000515,0.000515
77,867.809,0,22.3953,0,0,0,0,0,0,37.5257,0,0.0004952,0.0004952,0.0004952
78,879.245,0,22.3147,0,0,0,0,0,0,37.4435,0,0.0004754,0.0004754,0.0004754
79,890.551,0,22.0653,0,0,0,0,0,0,37.1526,0,0.0004556,0.0004556,0.0004556
80,902.012,0,21.8749,0,0,0,0,0,0,36.794,0,0.0004358,0.0004358,0.0004358
81,913.3,0,21.6674,0,0,0,0,0,0,36.794,0,0.000416,0.000416,0.000416
82,924.431,0,21.5019,0,0,0,0,0,0,36.3053,0,0.0003962,0.0003962,0.0003962
83,935.702,0,21.387,0,0,0,0,0,0,35.673,0,0.0003764,0.0003764,0.0003764
84,946.907,0,21.2131,0,0,0,0,0,0,35.1753,0,0.0003566,0.0003566,0.0003566
85,958.066,0,21.0742,0,0,0,0,0,0,35.1753,0,0.0003368,0.0003368,0.0003368
86,969.532,0,20.924,0,0,0,0,0,0,34.7723,0,0.000317,0.000317,0.000317
87,980.949,0,20.7807,0,0,0,0,0,0,34.5647,0,0.0002972,0.0002972,0.0002972
88,992.015,0,20.8615,0,0,0,0,0,0,34.3726,0,0.0002774,0.0002774,0.0002774
89,1003.07,0,20.5477,0,0,0,0,0,0,34.3726,0,0.0002576,0.0002576,0.0002576
90,1014.32,0,20.4592,0,0,0,0,0,0,34.2615,0,0.0002378,0.0002378,0.0002378
91,1025.49,0,20.403,0,0,0,0,0,0,34.1439,0,0.000218,0.000218,0.000218
92,1037.09,0,20.3339,0,0,0,0,0,0,34.0846,0,0.0001982,0.0001982,0.0001982
93,1048.41,0,20.2434,0,0,0,0,0,0,34.0846,0,0.0001784,0.0001784,0.0001784
94,1059.66,0,20.1855,0,0,0,0,0,0,33.9812,0,0.0001586,0.0001586,0.0001586
95,1070.82,0,20.3052,0,0,0,0,0,0,33.8829,0,0.0001388,0.0001388,0.0001388
96,1081.96,0,20.064,0,0,0,0,0,0,33.6821,0,0.000119,0.000119,0.000119
97,1093.19,0,20.0404,0,0,0,0,0,0,33.6821,0,9.92e-05,9.92e-05,9.92e-05
98,1104.28,0,19.9821,0,0,0,0,0,0,33.5984,0,7.94e-05,7.94e-05,7.94e-05
99,1115.37,0,19.919,0,0,0,0,0,0,33.4723,0,5.96e-05,5.96e-05,5.96e-05
100,1126.48,0,19.9771,0,0,0,0,0,0,33.3476,0,3.98e-05,3.98e-05,3.98e-05
